epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,465.758,0.94245,2.90517,1.45903,0.01197,0.82535,0.09912,0.03985,1.16272,5.08344,1.75025,0.000300669,0.000300669,0.000300669
2,936.347,0.97116,2.26693,1.49187,0.02,0.59155,0.06116,0.01822,1.66069,5.47126,2.07685,0.000591717,0.000591717,0.000591717
3,1401.41,0.99721,2.1466,1.49772,0.0345,0.73803,0.0875,0.02342,1.55674,4.74444,2.07508,0.000870765,0.000870765,0.000870765
4,1868.15,1.03191,1.99595,1.52315,0.08071,0.18028,0.05399,0.01901,1.61276,5.03619,2.12854,0.000855005,0.000855005,0.000855005
5,2334.74,0.98226,1.85995,1.48279,0.13158,0.09859,0.0768,0.02753,1.33649,5.14826,1.90051,0.000837007,0.000837007,0.000837007
6,2798.14,0.94176,1.73888,1.45017,0.06612,0.02254,0.03569,0.01522,1.36684,5.8031,1.89312,0.000819009,0.000819009,0.000819009
7,3264.56,0.9438,1.69272,1.44785,0,0,0,0,1.49996,5.49499,2.00212,0.000801011,0.000801011,0.000801011
8,3733.11,0.90711,1.59695,1.41522,0.22222,0.00563,0.11312,0.04511,1.31207,5.26926,1.88922,0.000783013,0.000783013,0.000783013
9,4200.61,0.88243,1.55828,1.40266,0,0,0,0,1.43911,6.28394,1.8885,0.000765014,0.000765014,0.000765014
10,4649.85,0.87434,1.52956,1.39773,0,0,0,0,1.29987,5.78875,1.86945,0.000747016,0.000747016,0.000747016
11,5055.34,0.83776,1.45429,1.37066,0,0,0,0,1.36081,6.29497,1.82748,0.000729018,0.000729018,0.000729018
12,5460.29,0.84053,1.41197,1.36549,0,0,0,0,1.23124,6.29837,1.77677,0.00071102,0.00071102,0.00071102
13,5839.53,0.82622,1.40103,1.35537,0,0,0,0,1.27369,6.01308,1.80011,0.000693022,0.000693022,0.000693022
14,6307.11,0.81588,1.34206,1.35231,0,0,0,0,1.31497,6.22029,1.78298,0.000675023,0.000675023,0.000675023
15,6773.84,0.80513,1.33865,1.34399,0,0,0,0,1.4655,6.50418,1.90269,0.000657025,0.000657025,0.000657025
16,7241.89,0.79896,1.31497,1.34294,0.4,0.00563,0.20412,0.12225,1.37119,6.42965,1.82342,0.000639027,0.000639027,0.000639027
17,7709.95,0.78529,1.25434,1.32871,0,0,0,0,1.5013,6.45733,1.93798,0.000621029,0.000621029,0.000621029
18,8178.94,0.77496,1.2004,1.3189,0,0,0,0,1.54033,6.54665,1.89072,0.000603031,0.000603031,0.000603031
19,8648.19,0.76846,1.20362,1.31263,0.25,0.01127,0.12694,0.05374,1.34455,6.1594,1.80525,0.000585032,0.000585032,0.000585032
20,9116.67,0.76857,1.2351,1.31257,0,0,0,0,1.39007,6.73064,1.79877,0.000567034,0.000567034,0.000567034
21,9585.03,0.73735,1.16077,1.28812,0,0,0,0,1.42654,6.43254,1.93097,0.000549036,0.000549036,0.000549036
22,10052.9,0.73219,1.15159,1.28985,0,0,0,0,1.44947,6.72098,1.91328,0.000531038,0.000531038,0.000531038
23,10521.1,0.74012,1.1182,1.2884,0,0,0,0,1.37358,6.40786,1.84832,0.00051304,0.00051304,0.00051304
24,10942.1,0.72511,1.09951,1.28087,0,0,0,0,1.64963,6.92381,2.12011,0.000495041,0.000495041,0.000495041
25,11284.7,0.712,1.08012,1.27635,0,0,0,0,1.48277,6.7503,1.87827,0.000477043,0.000477043,0.000477043
26,11630,0.69151,1.05265,1.25942,0,0,0,0,1.35053,6.6346,1.79623,0.000459045,0.000459045,0.000459045
27,11974.4,0.70587,1.05826,1.27404,0,0,0,0,1.5668,7.06834,1.95089,0.000441047,0.000441047,0.000441047
28,12319,0.68496,1.03927,1.25473,0,0,0,0,1.56486,6.9504,1.95655,0.000423049,0.000423049,0.000423049
29,12663,0.67715,1.01362,1.25376,0,0,0,0,1.63106,7.15944,1.98505,0.00040505,0.00040505,0.00040505
30,13008.8,0.68062,0.99082,1.25405,0,0,0,0,1.59998,6.6729,1.91632,0.000387052,0.000387052,0.000387052
31,13354.1,0.66644,0.97931,1.23938,0,0,0,0,1.58008,6.72093,1.9479,0.000369054,0.000369054,0.000369054
32,13699.2,0.67575,0.97486,1.25175,0,0,0,0,1.57737,7.18879,1.90683,0.000351056,0.000351056,0.000351056
33,14046.2,0.66025,0.96539,1.2348,0,0,0,0,1.60785,7.12657,1.93445,0.000333058,0.000333058,0.000333058
34,14390.6,0.66577,0.95204,1.25095,0,0,0,0,1.54622,7.03402,1.95825,0.000315059,0.000315059,0.000315059
35,14733.6,0.64796,0.93268,1.22899,0,0,0,0,1.64867,6.94936,1.96657,0.000297061,0.000297061,0.000297061
36,15076.4,0.63236,0.92335,1.21479,0,0,0,0,1.43814,6.87742,1.83829,0.000279063,0.000279063,0.000279063
37,15418.8,0.62918,0.89562,1.21816,0,0,0,0,1.58788,6.9728,1.92939,0.000261065,0.000261065,0.000261065
38,15760.3,0.63598,0.90873,1.22009,0,0,0,0,1.52646,6.95028,1.8924,0.000243067,0.000243067,0.000243067
39,16100,0.63007,0.87697,1.21443,0,0,0,0,1.49184,7.1113,1.86439,0.000225068,0.000225068,0.000225068
40,16443.1,0.61749,0.85676,1.20091,0,0,0,0,1.54864,6.98678,1.89143,0.00020707,0.00020707,0.00020707
41,16782.5,0.53012,0.76774,1.22319,0,0,0,0,1.58038,7.01117,1.94408,0.000189072,0.000189072,0.000189072
42,17122.2,0.50617,0.71819,1.18826,0,0,0,0,1.56122,6.96939,1.88152,0.000171074,0.000171074,0.000171074
43,17462.8,0.502,0.70068,1.17928,0,0,0,0,1.6391,7.12999,1.93838,0.000153076,0.000153076,0.000153076
44,17798.2,0.48424,0.63672,1.17888,0,0,0,0,1.64679,7.10725,1.9379,0.000135077,0.000135077,0.000135077
45,18126.3,0.48298,0.64221,1.17679,0,0,0,0,1.5718,7.08298,1.89481,0.000117079,0.000117079,0.000117079
46,18453.6,0.47718,0.62838,1.16458,0,0,0,0,1.63561,7.16384,1.92601,9.9081e-05,9.9081e-05,9.9081e-05
47,18781,0.45715,0.60836,1.15287,0,0,0,0,1.64673,7.08932,1.92104,8.10828e-05,8.10828e-05,8.10828e-05
48,19116.4,0.45948,0.58511,1.15522,0,0,0,0,1.68808,7.16012,1.97583,6.30846e-05,6.30846e-05,6.30846e-05
49,19470.4,0.44723,0.57614,1.1455,0,0,0,0,1.66216,7.12328,1.93257,4.50864e-05,4.50864e-05,4.50864e-05
50,19825.6,0.45143,0.57027,1.13795,0,0,0,0,1.66562,7.15298,1.93811,2.70882e-05,2.70882e-05,2.70882e-05
